id,password,name,surname,dateOfBirth,address,contactPhone,email
447695297,123456,Sarah,Peretz,1992-05-29,"28 Ibn Gabirol St, Holon, Israel",+972-54-901-1584,qltvry@yahoo.com
377421961,123456,Michael,Sharon,1955-05-21,"74 King George St, Ashdod, Israel",+972-50-249-6760,enym@hotmail.com
183623800,123456,Jacob,Avraham,2000-01-31,"29 Dizengoff St, Eilat, Israel",+972-57-552-9503,qshgb@hotmail.com
412365645,123456,Hannah,Avraham,1976-11-13,"41 King George St, Netanya, Israel",+972-55-988-6002,shmvntvm@hotmail.com
914842901,123456,David,Levi,1958-12-11,"47 Ibn Gabirol St, Haifa, Israel",+972-58-199-6894,ld05@hotmail.com
740190681,123456,Hannah,Weiss,1985-02-09,"84 Dizengoff St, Tel Aviv, Israel",+972-51-905-2457,kshktr@hotmail.com
287823579,123456,David,Mizrahi,1965-01-07,"73 Ben Yehuda St, Holon, Israel",+972-51-433-8632,ytskhqkhlylh@bvkhbvt-qrmr.com
255888158,123456,Jacob,Cohen,1946-08-06,"1 Jabotinsky St, Jerusalem, Israel",+972-59-933-3735,xrvn@sbg.biz
785176546,123456,Jacob,Peretz,1965-03-30,"72 King George St, Eilat, Israel",+972-54-740-4533,shyrh58@khvry-gvln.com
872212980,123456,Sarah,Sharon,1979-01-11,"70 Herzl St, Eilat, Israel",+972-54-528-2914,mykllyhv@vkhnh.info
482789112,123456,Jacob,Sharon,1955-10-23,"96 Dizengoff St, Netanya, Israel",+972-53-650-1484,ymzrkhy@sdy.com
631434214,123456,Nathan,Weiss,1976-02-01,"118 Ibn Gabirol St, Tel Aviv, Israel",+972-54-396-8863,xshmvny@hotmail.com
203191861,123456,Hannah,Barak,1962-02-26,"179 Herzl St, Ashdod, Israel",+972-53-859-1824,hnyh00@gmail.com
895639847,123456,Emily,Peretz,1995-05-28,"196 King George St, Tel Aviv, Israel",+972-55-457-1736,khvhtl@yahoo.com
190532663,123456,Rachel,Mizrahi,2004-10-14,"6 Ben Yehuda St, Eilat, Israel",+972-53-717-6782,vkhyvnmvkhmd@shmsh-brvn.com
966052870,123456,Emily,Levi,1935-01-15,"8 Ben Yehuda St, Tel Aviv, Israel",+972-52-958-1453,yvlybnymyn@ymyn.info
202064119,123456,Sarah,Cohen,1947-05-29,"154 Ibn Gabirol St, Haifa, Israel",+972-57-525-4978,ryqvbvbyts@gmail.com
321634560,123456,Rachel,Barak,1994-12-31,"136 Ben Yehuda St, Haifa, Israel",+972-55-483-1954,lvykrym@mr.com
861442341,123456,Joshua,Mizrahi,1977-08-09,"47 Dizengoff St, Eilat, Israel",+972-56-560-8310,hkhn@hotmail.com
224095588,123456,David,Rosenthal,1952-08-07,"96 Ibn Gabirol St, Eilat, Israel",+972-55-361-7196,yqb86@rz.com
710212507,123456,Daniel,Peretz,1982-07-19,"104 Ibn Gabirol St, Haifa, Israel",+972-53-315-3517,dmkhn@slvmvn.com
802399279,123456,David,Barak,1950-02-12,"151 Herzl St, Rishon LeZion, Israel",+972-54-259-8412,nysymhrn@svd.com
416236297,123456,Michael,Avraham,1934-03-08,"9 Ben Yehuda St, Jerusalem, Israel",+972-50-663-5759,uddvn@nym.com
286728118,123456,Hannah,Barak,1940-07-27,"80 Ben Yehuda St, Jerusalem, Israel",+972-53-811-1377,vvdh@yahoo.com
447465402,123456,Daniel,Cohen,1942-01-26,"77 Jabotinsky St, Jerusalem, Israel",+972-55-600-4294,lvybyshy@hotmail.com
714200763,123456,Rachel,Weiss,1955-10-19,"120 Ibn Gabirol St, Eilat, Israel",+972-55-181-7855,khvgyrtlyh@qlyyn.info
136839107,123456,Jacob,Peretz,1955-08-26,"181 King George St, Eilat, Israel",+972-54-422-4722,ksvlvmvn@lqyym.com
892599101,123456,Michael,Barak,1946-06-16,"8 King George St, Tel Aviv, Israel",+972-50-302-8454,shpyrhll@gmail.com
627030471,123456,Joshua,Sharon,1996-02-27,"107 Ibn Gabirol St, Jerusalem, Israel",+972-59-751-4312,rgbyly@hotmail.com
932921547,123456,Rachel,Weiss,1980-05-25,"31 Ben Yehuda St, Haifa, Israel",+972-56-906-7905,rvnnmry@hotmail.com
388572414,123456,Emily,Sharon,1949-09-14,"17 Ibn Gabirol St, Holon, Israel",+972-56-745-1193,mnkhm96@mylr.org
363157132,123456,Jacob,Weiss,1985-04-04,"60 Ibn Gabirol St, Netanya, Israel",+972-57-486-7039,prydmnbytr@khn.biz
723299764,123456,Nathan,Peretz,1945-08-24,"15 Jabotinsky St, Tel Aviv, Israel",+972-54-255-8425,sdvd@bnymyn-grvs.com
144745890,123456,Jacob,Avraham,1971-04-16,"69 Herzl St, Eilat, Israel",+972-52-217-9173,khsnlvn@lybrmn.com
145389920,123456,David,Barak,2002-08-01,"152 Rothschild St, Be'er Sheva, Israel",+972-56-387-5480,lvynvm@dnynv-ymyn.org
863727921,123456,Jacob,Rosenthal,1937-09-26,"167 Dizengoff St, Haifa, Israel",+972-58-438-6109,bbv-snynh@yahoo.com
151970043,123456,Emily,Shalev,2000-03-31,"125 King George St, Netanya, Israel",+972-54-429-6134,bv-kpzyv@gmail.com
367247376,123456,Sarah,Sharon,1990-03-24,"147 King George St, Rishon LeZion, Israel",+972-56-895-6286,rvmymmn@hotmail.com
989943949,123456,Joshua,Cohen,1963-03-30,"124 Dizengoff St, Eilat, Israel",+972-53-422-1225,ymryysqvb@gmail.com
916106792,123456,Jacob,Sharon,1946-12-08,"156 Herzl St, Haifa, Israel",+972-57-991-1713,zkhmdn@shmsh.com
105692875,123456,Sarah,Barak,1961-07-07,"125 Dizengoff St, Jerusalem, Israel",+972-52-663-1274,yvbdhn@hll.org
433709102,123456,Nathan,Mizrahi,1983-03-26,"128 Herzl St, Tel Aviv, Israel",+972-53-624-2490,tsvpyhbytvn@sl.com
454630377,123456,Sarah,Levi,1953-04-06,"20 Jabotinsky St, Jerusalem, Israel",+972-52-768-1601,bsybygyl@mshh.com
966793689,123456,Emily,Barak,1937-03-03,"83 Jabotinsky St, Eilat, Israel",+972-52-343-9294,nbvnmnvr@hotmail.com
634246938,123456,Daniel,Shalev,1968-03-18,"45 Ibn Gabirol St, Tel Aviv, Israel",+972-59-645-6071,rbybvtlyh@slh.org
555165703,123456,Hannah,Peretz,1950-12-05,"2 Rothschild St, Ashdod, Israel",+972-51-784-1503,drytmr@hotmail.com
308802339,123456,Jacob,Sharon,1967-11-26,"79 Rothschild St, Holon, Israel",+972-59-100-1564,bylshvrts@yahoo.com
830778379,123456,Daniel,Avraham,1936-04-20,"45 Herzl St, Haifa, Israel",+972-52-344-8997,khlbyzvhr@hrl.com
344906771,123456,Jacob,Mizrahi,1973-05-29,"13 King George St, Tel Aviv, Israel",+972-53-567-6797,dvdnbr@prydmn.biz
952028470,123456,David,Avraham,1970-10-26,"146 Ibn Gabirol St, Tel Aviv, Israel",+972-51-819-9454,lby49@hotmail.com
